sentence_id	transmit	animals1	animals2	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	transmit_first_index	transmit_last_index	animals1_first_index	animals1_last_index	animals2_first_index	animals2_last_index	sentence_text
1415483	Asia	spread	Europe	https://api.semanticscholar.org/10.1016/j.atc.2004.07.001		10.1016/j.atc.2004.07.001				10	10	8	8	15	15	SARS , a recently recognized infectious illness rapidly spread from Asia to North America and Europe through just a few air travelers .
1417591	emergency unit of neighbouring hospital	transferred	intensive care of this hospital	https://api.semanticscholar.org/10.1111/j.1469-0691.2011.03559.x		10.1111/j.1469-0691.2011.03559.x				10	14	8	8	16	20	Case study : A 29-year-old IVDU male was transferred from emergency unit of neighbouring hospital to intensive care of this hospital on February 4 , with signs of severe sepsis and seizures .
1418841	the gel	transferred	a nitrocellulose membrane	https://api.semanticscholar.org/10.1016/0165-2427(94)05375-3		10.1016/0165-2427(94)05375-3		8533300		4	5	2	2	7	9	Proteins were transferred from the gel to a nitrocellulose membrane ( Hybond C + ) using a transblot apparatus ( Pharmacia , Uppsala , Sweden ) .
1418841	the gel	transferred	Hybond C	https://api.semanticscholar.org/10.1016/0165-2427(94)05375-3		10.1016/0165-2427(94)05375-3		8533300		4	5	2	2	11	12	Proteins were transferred from the gel to a nitrocellulose membrane ( Hybond C + ) using a transblot apparatus ( Pharmacia , Uppsala , Sweden ) .
1422881	chromosome	transfer	chromosome	https://api.semanticscholar.org/10.1111/j.1469-0691.2011.03559.x		10.1111/j.1469-0691.2011.03559.x				8	8	5	5	10	10	These elements are capable to transfer themselves from chromosome to chromosome via conjugation .
1425738	the ER	transfer	organelles	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3646482/pdf/	PMC3646482	10.1016/j.chom.2013.03.006		23601107		23	24	20	20	26	26	Specifically , the major sperm protein ( MSP ) domain of VAPA interacts with the FFAT motif of OSBP to transfer cholesterol from the ER to organelles ; however , detailed mechanisms of VAPA-OSBP complex-mediated cholesterol transport are still elusive ( Holthuis and Levine , 2005 ; Levine , 2004 ) .
1430079	these beachheads	spread	other target cells	https://api.semanticscholar.org/10.1016/b978-0-323-35775-3.00004-7		10.1016/b978-0-323-35775-3.00004-7				3	4	8	8	33	35	It is from these beachheads that microbes then spread locally ( submucosa and dermis and associated lymphoid tissues ) , regionally ( lymph nodes ) , and/or systemically ( organ systems ) to other target cells and cause disease .
1431630	animal	spread	animal	https://api.semanticscholar.org/10.1016/b978-0-7020-5246-0.00007-3		10.1016/b978-0-7020-5246-0.00007-3				41	41	37	37	43	43	Other studies have provided further support of these findings , indicating that HFL is an effective chemo therapy in calves for the purpose of reducing the severity of bovine cryptosporidiosis , and suggesting that HFL decreases the spread of Cryptosporidium from animal to animal because of decreased fecal oocyst output .
1433790	person	spread	person	https://api.semanticscholar.org/10.1016/j.clinmicnews.2004.09.004		10.1016/j.clinmicnews.2004.09.004				32	32	30	30	34	34	The authors provided a hypothesis that the lack of a cluster of phospholipase C genes in M. bovis genomes might be responsible for the decreased ability of this organism to spread from person to person compared to M. tuberculosis .
1434769	macrophage	spreads	macrophage	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1397830/pdf/	PMC1397830	10.1186/1740-2557-3-1		16504001		10	10	8	8	12	12	A persistent CNS infection is established as virus spreads from macrophage to macrophage .
1435773	infected poultry	transmitted	humans	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2871037/pdf/	PMC2871037	10.1371/journal.pone.0010645		20498717		16	17	13	13	19	19	HPAI H5N1 also poses a major public health threat as it can be transmitted directly from infected poultry to humans with very high ( 60 % ) mortality rate .
1442245	person	transmitted	person	https://api.semanticscholar.org/10.1016/b978-0-323-52371-4.00026-x		10.1016/b978-0-323-52371-4.00026-x				19	19	17	17	21	21	Because viable spores are present in the mediastinum and not the alveoli , anthrax is generally not transmitted from person to person via droplet nuclei .
1451498	infected poultry	transmitted	man	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3173486/pdf/	PMC3173486	10.1371/journal.pone.0025005		21935489		9	10	7	7	12	12	In addition , avian IAVs are occasionally transmitted from infected poultry to man .
1451708	person	transmitted	person	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2851561/pdf/	PMC2851561	10.1371/journal.pcbi.1000736		20386735		21	21	18	18	23	23	Thus , in order to obtain contact network data that are relevant for the spread of infectious diseases transmitted directly from person to person by the respiratory or close-contact route , we make the following assumptions : Individuals who have a friendship relation in the network , and who either ( a ) have the same dormitory residence , or ( b ) who major in the same field and the same class year , are likely to be in close enough physical contact on a regular basis as to be able to transmit an infection to each other .
1453551	copper	transfer	ferrocene	https://api.semanticscholar.org/10.1016/j.ccr.2018.08.011		10.1016/j.ccr.2018.08.011				20	20	18	18	22	22	After pyrimidine rotation the one-electron transfer redox potentials ( copper(I)/(II ) vs ferrocene/ferrocenium ) are reversed triggering electron transfer from copper to ferrocene .
1455197	pigs	transmitted	humans	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153328/pdf/	PMC5153328	10.1016/j.jcv.2009.05.031		19515609		19	19	17	17	21	21	1 The 2009 swine flu virus designated H1N1 A/swine/California/04/2009 is not zoonotic swine flu and is not transmitted from pigs to humans , but rather from person to person .
1457977	the phenanthroline	transfer	the pyridine-phenanthroline stations	https://api.semanticscholar.org/10.1016/j.ccr.2018.08.011		10.1016/j.ccr.2018.08.011				30	31	28	28	33	35	The three-component device [ [ 4 ] Cu 2 ( 25 ) 2 ( 38 ) ] 2 + has been fabricated to allow for redox triggered cargo transfer from the phenanthroline to the pyridine-phenanthroline stations ( Fig. 21 ) [ 57 ] .
1458139	cell	spread	cell [ 27	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6982783/pdf/	PMC6982783	10.3390/molecules25010183		31906391		20	20	15	15	22	24	Meanwhile , Pollara showed that TMP inhibits poxvirus growth in vitro by preventing the efficient spread of virus particles from cell to cell [ 27 ] .
1458395	older people	transfers	children	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5284463/pdf/	PMC5284463	10.1136/jech-2015-206257		27965315		3	4	1	1	7	7	Financial transfers from older people to their children and grandchildren have increased over time and such transfers directly impact health outcomes in some contexts .
1458395	older people	transfers	grandchildren	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5284463/pdf/	PMC5284463	10.1136/jech-2015-206257		27965315		3	4	1	1	9	9	Financial transfers from older people to their children and grandchildren have increased over time and such transfers directly impact health outcomes in some contexts .
1459633	the home	spread	the host community	https://api.semanticscholar.org/10.1016/s1473-3099(11)70353-x		10.1016/s1473-3099(11)70353-x		22252148		15	16	13	13	18	20	International MGs can amplify the transmission of infectious diseases , and infections can spread from the home to the host community during travel to and from the event and from the host to the home community on return .
1464835	Illumina v1.3	transferred	Sanger scale	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5322194/pdf/	PMC5322194	10.3389/fmicb.2017.00270		28280489		18	19	16	16	21	22	Fastq files were obtained by using CASAVA1.7 ( Illumina ) and the Fastq ASCII qualities were transferred from Illumina v1.3 to Sanger scale with FastQ Groomer ( Cock et al. , 2010 ) .
1467363	a referral hospital	transferred	intensive care unit	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC155957/pdf/	PMC155957			12771070		21	23	11	11	14	16	The index case at our hospital was a patient who was transferred to our intensive care unit ( ICU ) from a referral hospital on Mar. 16 , 2003 , where he had been in close proximity to the son of the individual with the first reported case of SARS in Toronto .
1467363	a referral hospital	transferred	ICU	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC155957/pdf/	PMC155957			12771070		21	23	11	11	18	18	The index case at our hospital was a patient who was transferred to our intensive care unit ( ICU ) from a referral hospital on Mar. 16 , 2003 , where he had been in close proximity to the son of the individual with the first reported case of SARS in Toronto .
1467846	the donor	transmitted	the recipient	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4094952/pdf/	PMC4094952	10.5500/wjt.v4.i2.43		25032095		7	8	5	5	10	11	Multiple infectious diseases have been transmitted from the donor to the recipient via transplantation .
1469344	an E2 enzyme	transferred	which	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3147166/pdf/	PMC3147166	10.3389/fmicb.2011.00161		21847386		33	35	31	31	27	27	Finally , the HECT ( homologous to E6-associated protein C-terminus , reviewed in Rotin and Kumar , 2009 ) ligases harbor their own catalytic cysteine residues to which Ub is first transferred from an E2 enzyme .
1470263	person	transmitted	person	https://api.semanticscholar.org/10.1016/b978-0-443-06668-9.50124-1		10.1016/b978-0-443-06668-9.50124-1				8	8	6	6	10	10	Fortunately , the disease is not transmitted from person to person .
1470714	infected microglia	spreads	cells	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1091713/pdf/	PMC1091713	10.1128/jvi.79.10.6102-6110.2005		15857995		27	28	24	24	33	33	Thus , the present study indicates that microglial cells are the major population of the initial target for MHV infection and that the wt spreads from initially infected microglia to a variety of cells in an MHVR-independent fashion .
1475905	person	transmitted	person	https://api.semanticscholar.org/10.1016/b978-0-7020-5246-0.00007-3		10.1016/b978-0-7020-5246-0.00007-3				6	6	4	4	8	8	The infection can be transmitted from person to person , but direct infection from animals and indirect waterborne infection from surface water and drinking water contaminated by domestic or wild animal feces can also be significant .
1476151	person	spread	person	https://api.semanticscholar.org/10.1016/b978-0-323-39308-9.00013-3		10.1016/b978-0-323-39308-9.00013-3				20	20	18	18	22	22	This may explain why the H5N1 avian influenza virus is so lethal to humans but so difficult to spread from person to person .
1483086	the dam	transfer	the fetus	https://api.semanticscholar.org/10.1016/b978-0-323-44329-6.00020-6		10.1016/b978-0-323-44329-6.00020-6				28	29	20	20	31	32	723 , 724 This is critically important because foals are essentially agammaglobulinemic at birth from the inability of macromolecules to transfer across the diffuse epitheliochorial equine placenta from the dam to the fetus .
1485482	person	transmitted	person	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710320/pdf/	PMC2710320	10.1186/1745-6673-4-15		19549302		30	30	28	28	32	32	Pandemic influenza occurs when a new strain of human influenza arises that humans have minimal or absent preexisting natural immunity , which causes disease , can be easily transmitted from person to person , and is globally widespread ( on 3 continents at one time ) [ 7 ] or exhibits community level outbreaks in two WHO regions .
1485487	Asia	spread	Europe	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710320/pdf/	PMC2710320	10.1186/1745-6673-4-15		19549302		23	23	21	21	25	25	The current strain of influenza considered to have pandemic potential is the highly pathogenic H5N1 strain of avian influenza which has spread from Asia to Europe .
1499190	US	spread	Korea	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5742880/pdf/	PMC5742880	10.1155/2017/2978718		29379796		12	12	10	10	14	14	After introducing the Chinese PEDV strains to US the virus spread from US to Korea ( Figure 3 ( c ) , Supplementary Material Video S1 ) .
1499190	US	spread	Figure 3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5742880/pdf/	PMC5742880	10.1155/2017/2978718		29379796		12	12	10	10	16	17	After introducing the Chinese PEDV strains to US the virus spread from US to Korea ( Figure 3 ( c ) , Supplementary Material Video S1 ) .
1499190	US	spread	c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5742880/pdf/	PMC5742880	10.1155/2017/2978718		29379796		12	12	10	10	19	19	After introducing the Chinese PEDV strains to US the virus spread from US to Korea ( Figure 3 ( c ) , Supplementary Material Video S1 ) .
1499190	US	spread	Supplementary Material Video S1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5742880/pdf/	PMC5742880	10.1155/2017/2978718		29379796		12	12	10	10	22	25	After introducing the Chinese PEDV strains to US the virus spread from US to Korea ( Figure 3 ( c ) , Supplementary Material Video S1 ) .
1499230	infected poultry	transmitted	humans	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2871037/pdf/	PMC2871037	10.1371/journal.pone.0010645		20498717		17	18	14	14	20	20	In addition , it poses a major public health threat as it can be transmitted directly from infected poultry to humans with very high ( 60 % ) mortality rate .
1508944	one virus family	transfer	another	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3197151/pdf/	PMC3197151	10.1371/journal.pone.0025964		22043297		31	33	29	29	35	35	However , this seems very rare as it depends on coinfection of a single cell by two non-related viruses , and in contrast to recombination within viral species , transfer from one virus family to another can not involve a homologous recombination mechanism [ 18 , 25 , 26 ] .
1511102	one virus	transferred	another	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3197151/pdf/	PMC3197151	10.1371/journal.pone.0025964		22043297		7	8	5	5	10	10	S2 m is apparently easily transferred from one virus to another , and is so far the only evidenced mobile element of RNA virus genomes , of yet not ascertained function .
1514582	the sow	passed	piglets	https://api.semanticscholar.org/10.1016/b978-0-7020-2828-1.50011-6		10.1016/b978-0-7020-2828-1.50011-6				8	9	6	6	12	12	The original infection may have been passed from the sow to her piglets .
1515141	one state	passing	other	https://api.semanticscholar.org/10.1016/j.ejmech.2009.06.011		10.1016/j.ejmech.2009.06.011		19604606		20	21	18	18	23	23	At the same time , we associate the LN with a Markov matrix that describes the probabilities of passing from one state to other in the new 2D space .
1516443	the middle ear	spread	the inner ear	https://api.semanticscholar.org/10.1016/b978-0-7020-2828-1.50011-6		10.1016/b978-0-7020-2828-1.50011-6				4	6	2	2	8	10	Infection may spread from the middle ear to the inner ear .
1518983	where	spread	Iraq	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5589226/pdf/	PMC5589226	10.1371/journal.pone.0184401		28880958		19	19	21	21	23	23	In the meanwhile , strains from China invaded South Korea ( ~2008 ) and Iran ( ~2011 ) from where they spread to Iraq ( ~2013 ) ( S1 Video ) .
1518983	where	spread	~2013	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5589226/pdf/	PMC5589226	10.1371/journal.pone.0184401		28880958		19	19	21	21	25	25	In the meanwhile , strains from China invaded South Korea ( ~2008 ) and Iran ( ~2011 ) from where they spread to Iraq ( ~2013 ) ( S1 Video ) .
1518983	where	spread	S1 Video	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5589226/pdf/	PMC5589226	10.1371/journal.pone.0184401		28880958		19	19	21	21	28	29	In the meanwhile , strains from China invaded South Korea ( ~2008 ) and Iran ( ~2011 ) from where they spread to Iraq ( ~2013 ) ( S1 Video ) .
1519348	MSCs	transfer	ATII cells	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3960908/pdf/	PMC3960908	10.1513/annalsats.201304-090aw		23869446		3	3	1	1	5	6	Mitochondrial transfer from MSCs to ATII cells has been demonstrated to replenish endotoxin-depleted ATP stores and to restore surfactant secretion ( 247 ) .
1521579	one module	transfer	another one	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7094345/pdf/	PMC7094345	10.1016/j.aca.2005.05.075		17723328		21	22	19	19	24	25	It consists of sample/reagent introduction ( macro-to micro-environment interfaces ) ; liquid handling ( e.g. mixing ) ; sample/reagent transfer from one module to another one ; and on-chip valving/pumping [ 11 ] .
1524653	person	transmitted	person	https://api.semanticscholar.org/10.1016/j.atc.2004.04.004		10.1016/j.atc.2004.04.004		15325719		10	10	8	8	12	12	Tularemia , anthrax , and botulism are not transmitted from person to person in their naturally occurring forms .
1525075	one cohort	transfer	the next	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088645/pdf/	PMC7088645	10.1007/s11538-005-9047-7		16794950		10	11	8	8	13	14	If we consider a time-scale short enough that transfer from one cohort to the next can be ignored , then the standard " realistic agestructured model " ( Schenzle , 1984 ) reduces to Eqs. ( 26 ) , where the transmission matrix B now refers to contact patterns among different age cohorts .
1526398	infected birds	spread	humans	https://api.semanticscholar.org/10.4065/79.11.1359		10.4065/79.11.1359				69	70	67	67	72	72	The greatest and most immediate threat is the longoverdue reappearance of pandemic influenza A. The leading and most dreaded candidate for the new pandemic subtype is avian influenza A ( H5N1 ) , recently reviewed in this journal , 14 which was first recognized in a large poultry outbreak in the live-animal markets of Hong Kong in 1997 , where the virus had acquired the capacity to spread from infected birds to humans and killed 6 of 18 infected persons .
1531963	Thailand	spread	Laos	https://api.semanticscholar.org/10.1016/s0140-6736(10)62004-1		10.1016/s0140-6736(10)62004-1				14	14	12	12	16	16	Another example was the joint Lao-Thai investigation of a cholera outbreak that spread from Thailand to Laos with identifi cation of the source , enabling coordinated control measures to be implemented .
1533392	cell	transmitted	cell	https://api.semanticscholar.org/10.1016/s0065-3527(08)60279-1		10.1016/s0065-3527(08)60279-1		1957718		21	21	19	19	23	23	Multiple mutations accumulate within virus surface envelope proteins , particularly the matrix protein , yet virus genomes are somehow transmitted from cell to cell without significant production of mature infectious virus , and despite a vigorous CNS immune response .
1543653	the Middle East	traveling	England	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4178421/pdf/	PMC4178421	10.3201/eid2009.140817		25148267		11	13	7	7	9	9	This report on the characteristics of patients traveling to England from the Middle East and tested for MERS-CoV enables a first crude estimation of the positive predictive value of different signs and symptoms during the first year following the emergence of this pathogen .
1544109	the blood	spreading	the meninges	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586375/pdf/	PMC6586375	10.1371/journal.ppat.1007848		31181121		21	22	19	19	24	25	[ 6 ] [ 7 ] [ 8 ] Bacterial meningitis typically develops as a result of the pathogen spreading from the blood to the meninges .
1545476	human	spread	human infections	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6156540/pdf/	PMC6156540	10.3389/fimmu.2018.01963		30283434		14	14	9	9	21	22	So far , the virus is not able to spread efficiently and sustainably from human to human but H5N1 bird to human infections have caused the death of 453 people worldwide until 2017 .
1548154	the upper	spreading	the lower airways	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5117516/pdf/	PMC5117516	10.1186/s12931-016-0474-9		27871304		24	25	22	22	27	29	The presence of pathogenic bacteria ( Streptococcus , Moraxella , Haemophilus ) in the nasopharyngeal microbiome increases the risk of the infection spreading from the upper to the lower airways and inducing more severe symptoms [ 53 ] .
1551766	the pylorus	passes	the right	https://api.semanticscholar.org/10.1016/b978-1-4160-3661-6.00057-2		10.1016/b978-1-4160-3661-6.00057-2				3	4	1	1	8	9	It passes from the pylorus dorsally and to the right , at the level of the ninth intercostal space , and is immobilized by the hepatoduodenal ligament .
1552452	node	transmitted	neighbors	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088852/pdf/	PMC7088852	10.1007/s11277-016-3610-4				33	33	31	31	35	35	But in Spray and wait algorithm , each node sends uniform number p. It is obvious that p r p , because in Spray and wait , all data packets are transmitted from node to neighbors when it carries .
1554538	the aliphatic side chains	transferred	the whole protein	https://api.semanticscholar.org/10.1016/b978-0-12-409547-2.12559-4		10.1016/b978-0-12-409547-2.12559-4				7	10	5	5	12	14	The selective saturation is now transferred from the aliphatic side chains to the whole protein via spin diffusion through cross relaxation ( intramolecular nuclear Overhauser effect ) .
1557227	C g	transferred	H e	https://api.semanticscholar.org/10.1016/b978-0-12-374920-8.00116-8		10.1016/b978-0-12-374920-8.00116-8				11	12	9	9	14	15	In the case of HBCB(CG)HE , the magnetization is transferred from C g to H e directly via 3 J CgHe ( 7.9 Hz for Phe and 7.1 Hz for Tyr ) after the transfer to C g .
1557228	C g	transferred	C z	https://api.semanticscholar.org/10.1016/b978-0-12-374920-8.00116-8		10.1016/b978-0-12-374920-8.00116-8				10	11	8	8	13	14	In the HBCB(CGCZ)HZ experiment , the magnetization is transferred from C g to C z via 3 J CgCz ( 9.3 Hz ) , before the final C z -H z one-bond INEPT transfer .
1557279	Qatar	transferred	a hospital	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4178421/pdf/	PMC4178421	10.3201/eid2009.140817		25148267		16	16	14	14	18	19	The second case reported globally was in a Qatari national patient who had been transferred from Qatar to a hospital in England ; preliminary data sharing on September 23 indicated that isolates from the second case-patient had 99.5 % identity with the virus identified in the first case .
1558468	adult mosquitoes	transmitted	offspring	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6649329/pdf/	PMC6649329	10.3201/eid2508.181533		31310224		9	10	7	7	13	13	The isolation of infective Zika virus vertically transmitted from adult mosquitoes to their offspring suggests that this virus could be potentially transmissible between mosquitoes and their vertebrate hosts ; nevertheless , this transmission still needs to be demonstrated .
1559432	infected adult mosquitoes	transmitted	offspring	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6649329/pdf/	PMC6649329	10.3201/eid2508.181533		31310224		45	47	43	43	50	50	In Mexico , most of the studies regarding natural vertical transmission of arboviruses in mosquitoes have been carried out using DENV as a study model ( 23 ) ( 24 ) ( 25 ) , so the diversity of viruses that can be transmitted from infected adult mosquitoes to their offspring still needs to be characterized .
1565514	person	spread	person	https://api.semanticscholar.org/10.1016/b978-0-12-415847-4.00059-8		10.1016/b978-0-12-415847-4.00059-8				31	31	29	29	33	33	So far , there has been limited transmission of these viruses between people , though there is concern that they may acquire mutations or gene segments that allow efficient spread from person to person .
1566957	person	transmitted	person	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7087992/pdf/	PMC7087992	10.1007/s10393-007-0149-6		18648800		29	29	27	27	31	31	While HIV ( Retroviridae ) and influenza ( Orthomyxoviridae ) propagate well in human populations , as predicted , members of the Arenaviridae and Bunyaviridae are rarely transmitted from person to person , despite having both characteristics expected to be associated with high chances of propagation .
1567858	person	transmits	person	https://api.semanticscholar.org/10.1016/b978-0-12-415847-4.00059-8		10.1016/b978-0-12-415847-4.00059-8				13	13	11	11	15	15	Pandemic influenza can arise if a novel virus emerges that readily transmits from person to person and if the majority of the population is susceptible to infection .
1567860	person	transmit	person	https://api.semanticscholar.org/10.1016/b978-0-12-415847-4.00059-8		10.1016/b978-0-12-415847-4.00059-8				11	11	8	8	13	13	However , the virus must be able to transmit efficiently from person to person for a pandemic to occur .
1571872	the gH/gL heterodimer	passed	gB	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4690880/pdf/	PMC4690880	10.3390/v7122957		26690469		14	16	12	12	18	18	According to the current model , fusion in herpesviruses requires a signal passed from the gH/gL heterodimer to gB [ 37 ] .
1573721	Guinea	spread	Sierra Leone	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4587040/pdf/	PMC4587040	10.15265/iy-2015-019		26123904		6	6	4	4	8	9	The disease has also spread from Guinea to Sierra Leone , Liberia , Nigeria , Senegal , the United States of America , Spain and Mali [ 17 ] and " Germany , Norway , France , Italy , Switzerland and the UK have all treated patients who contracted the virus in West Africa " [ 18 ] .
1573721	Guinea	spread	Liberia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4587040/pdf/	PMC4587040	10.15265/iy-2015-019		26123904		6	6	4	4	11	11	The disease has also spread from Guinea to Sierra Leone , Liberia , Nigeria , Senegal , the United States of America , Spain and Mali [ 17 ] and " Germany , Norway , France , Italy , Switzerland and the UK have all treated patients who contracted the virus in West Africa " [ 18 ] .
1573721	Guinea	spread	17	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4587040/pdf/	PMC4587040	10.15265/iy-2015-019		26123904		6	6	4	4	27	27	The disease has also spread from Guinea to Sierra Leone , Liberia , Nigeria , Senegal , the United States of America , Spain and Mali [ 17 ] and " Germany , Norway , France , Italy , Switzerland and the UK have all treated patients who contracted the virus in West Africa " [ 18 ] .
1573721	Guinea	spread	Germany	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4587040/pdf/	PMC4587040	10.15265/iy-2015-019		26123904		6	6	4	4	31	31	The disease has also spread from Guinea to Sierra Leone , Liberia , Nigeria , Senegal , the United States of America , Spain and Mali [ 17 ] and " Germany , Norway , France , Italy , Switzerland and the UK have all treated patients who contracted the virus in West Africa " [ 18 ] .
1576742	Hong Kong	spread	Beijing	https://api.semanticscholar.org/10.4065/79.11.1359		10.4065/79.11.1359				34	35	23	23	25	25	31 • Elegant molecular epidemiology has traced the origins of SARS-CoV to Foshan in Guangdong Province , Southern China , from whence it spread to Beijing , then to Hong Kong , and from Hong Kong to Vietnam , Singapore , and Canada .
1579169	human	spread	human	https://api.semanticscholar.org/10.1016/j.jinf.2019.11.014		10.1016/j.jinf.2019.11.014		31778686		16	16	14	14	18	18	Infections of healthcare workers and family clusters suggest that 2019-nCoV has the ability to spread from human to human .
1580014	neuron	spreads	neuron	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4370180/pdf/	PMC4370180	10.1016/b978-0-444-53488-0.00010-9		25015488		15	15	13	13	17	17	Measles virus is capable of persisting in neurons as a defective variant that spreads from neuron to neuron directly , without passage through the extracellular enviromnent ( Schneider-Schaulies et al. , 1999 Lawrence et al. , 2000 ; Nathanson and Gonzalez-Scarano , 2007 ) .
1581188	Afghanistan	travelling	Pakistan	https://api.semanticscholar.org/10.1016/j.tmaid.2016.03.002		10.1016/j.tmaid.2016.03.002		26970396		6	6	4	4	8	8	( Data on cases travelling from Afghanistan to Pakistan are reported separately in Table 2 due to limited detail reported on risk factors , outcome and method of laboratory confirmation ) [ 29e36 ] .
1583441	animal	spillover	human populations	https://api.semanticscholar.org/10.1016/j.vetmic.2017.02.007		10.1016/j.vetmic.2017.02.007		28619165		25	25	23	23	27	28	As the global human population increases , so will anthropogenic pressures on wildlife and the environment , augmenting the likelihood of zoonotic pathogen spillover from animal to human populations .
1585626	the autoantigenic complex	spreading	the normal endogenous protein	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5712313/pdf/	PMC5712313	10.3389/fimmu.2017.01657		29234321		3	5	1	1	7	10	Epitope spreading from the autoantigenic complex to the normal endogenous protein would seem to have a role in the autoimmune response with the greater abundance of the endogenous protein then providing more of the provocation than the original autoantigenic complex .
1595354	the Middle East	traveled	London	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4890194/pdf/	PMC4890194	10.1016/j.sjbs.2016.02.019		27298584		27	29	25	25	31	31	On 15th September 2012 , a similar type of virus , named human coronavirus , was isolated from a patient with severe respiratory infection who traveled from the Middle East to London , United Kingdom .
1595354	the Middle East	traveled	United Kingdom	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4890194/pdf/	PMC4890194	10.1016/j.sjbs.2016.02.019		27298584		27	29	25	25	33	34	On 15th September 2012 , a similar type of virus , named human coronavirus , was isolated from a patient with severe respiratory infection who traveled from the Middle East to London , United Kingdom .
1603175	the host glycoconjugates	transferred	the terminal β-galactopyranosyl residues of mucin-like molecules	https://api.semanticscholar.org/10.1016/b978-0-12-816126-5.00001-9		10.1016/b978-0-12-816126-5.00001-9				47	49	45	45	51	57	Parasitic protozoa are known to reveal sialoglycoconjugates which play an important role in their biological function ( Table 3 ) and T. cruzi ( Fig. 9 ) , the causative agent of life-threatening Chagas disease in South America , is known to express sialic acids transferred from the host glycoconjugates to the terminal β-galactopyranosyl residues of mucin-like molecules on parasite surface by using the enzyme trans-sialidase [ 180 ] .
1608660	a healthy donor	transfer	a recipient 's upper or lower intestinal tract	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4124648/pdf/	PMC4124648	10.1155/2014/543765		25147804		9	11	4	4	13	20	Fecal transplantation involves direct transfer of fecal material from a healthy donor to a recipient 's upper or lower intestinal tract [ 70 ] [ 71 ] [ 72 ] .
1614708	one pathway	transfer	the other	https://api.semanticscholar.org/10.1016/s1386-6532(00)00098-6		10.1016/s1386-6532(00)00098-6				8	9	6	6	11	12	Later in the folding process a transfer from one pathway to the other may however take place .
1615239	animal	transmitted	animal	https://api.semanticscholar.org/10.1016/b978-0-323-35775-3.00021-7		10.1016/b978-0-323-35775-3.00021-7				4	4	2	2	6	6	They are transmitted from animal to animal by flies , which ingest larvae present in host lacrimal secretions .
1617086	human	transmit	human	https://api.semanticscholar.org/10.1016/j.cvex.2004.09.005		10.1016/j.cvex.2004.09.005		15585190		12	12	10	10	14	14	The chance that influenza A will develop human genes and transmit from human to human is real and may happen in the near future .
